year,district,d_percent,r_percent,other_percent,total_votes
1952,AL-01,57.76,42.24,0.0,45915.0
1952,AL-02,63.19,36.81,0.0,48972.0
1952,AL-03,72.23,27.77,0.0,36062.0
1952,AL-04,64.14,35.86,0.0,41456.0
1952,AL-05,72.69,27.31,0.0,55867.0
1952,AL-06,61.27,38.73,0.0,31041.0
1952,AL-07,62.58,37.42,0.0,46803.0
1952,AL-08,79.55,20.45,0.0,48313.0
1952,AL-09,54.16,45.84,0.0,70365.0
1952,AR-01,60.83,39.17,0.0,60089.0
1952,AR-02,61.16,38.84,0.0,41719.0
1952,AR-03,42.83,57.17,0.0,90723.0
1952,AR-04,63.71,36.29,0.0,73375.0
1952,AR-05,52.21,47.79,0.0,70497.0
1952,AR-06,60.45,39.55,0.0,69188.0
1952,AZ-01,39.43,60.57,0.0,127534.0
1952,AZ-02,43.78,56.22,0.0,133036.0
1952,CA-01,35.46,64.54,0.0,175263.0
1952,CA-02,41.72,58.28,0.0,149971.0
1952,CA-03,48.29,51.71,0.0,177970.0
1952,CA-04,38.33,61.67,0.0,197619.0
1952,CA-05,57.86,42.14,0.0,158194.0
1952,CA-06,52.42,47.58,0.0,180538.0
1952,CA-07,46.73,53.27,0.0,162243.0
1952,CA-08,48.02,51.98,0.0,204911.0
1952,CA-09,36.66,63.34,0.0,138582.0
1952,CA-10,38.82,61.18,0.0,186290.0
1952,CA-11,44.05,55.95,0.0,128904.0
1952,CA-12,50.38,49.62,0.0,142722.0
1952,CA-13,38.71,61.29,0.0,161349.0
1952,CA-14,44.75,55.25,0.0,146131.0
1952,CA-15,42.85,57.15,0.0,188942.0
1952,CA-16,35.42,64.58,0.0,130607.0
1952,CA-17,48.2,51.8,0.0,212492.0
1952,CA-18,41.25,58.75,0.0,163891.0
1952,CA-19,61.36,38.64,0.0,163566.0
1952,CA-20,28.47,71.53,0.0,129750.0
1952,CA-21,36.68,63.32,0.0,211697.0
1952,CA-22,36.78,63.22,0.0,139333.0
1952,CA-23,55.23,44.77,0.0,185097.0
1952,CA-24,39.92,60.08,0.0,149817.0
1952,CA-25,34.22,65.78,0.0,212871.0
1952,CA-26,60.15,39.85,0.0,216266.0
1952,CA-27,42.49,57.51,0.0,128536.0
1952,CA-28,30.87,69.13,0.0,177900.0
1952,CA-29,35.28,64.72,0.0,91685.0
1952,CA-30,37.98,62.02,0.0,209339.0
1952,CO-01,43.5,56.5,0.0,212029.0
1952,CO-02,34.36,65.64,0.0,184956.0
1952,CO-03,41.03,58.97,0.0,148997.0
1952,CO-04,36.03,63.97,0.0,79304.0
1952,CT-00,44.08,55.92,0.0,1096911.0
1952,CT-01,49.36,50.64,0.0,296883.0
1952,CT-02,43.99,56.01,0.0,163806.0
1952,CT-03,44.16,55.84,0.0,210364.0
1952,CT-04,38.88,61.12,0.0,273681.0
1952,CT-05,43.08,56.92,0.0,147927.0
1952,DE-00,48.06,51.94,0.0,173374.0
1952,FL-01,38.12,61.88,0.0,158118.0
1952,FL-02,51.7,48.3,0.0,108607.0
1952,FL-03,73.35,26.65,0.0,96136.0
